# Exact Riemann solution for problem: sedov
# Discretization: 1001
# Domain bounds: [0.00000e+00,1.20000e+00]
# Gamma: 1.40000e+00
# Time: 1.00000e+00
                   x                  rho                    P                |v_i|                 eint                 Cspd
  9.960000000000e-02   3.561007729695e-04   4.370104919644e-02   3.557000248015e-02   1.794788301549e+03   2.443709718424e+01
  1.008000000000e-01   3.601458992519e-04   4.370105201528e-02   3.599855672690e-02   1.751746535379e+03   2.407099082633e+01
  1.020000000000e-01   3.641910255343e-04   4.370105483412e-02   3.642711097365e-02   1.708704769209e+03   2.370488446841e+01
  1.032000000000e-01   3.682361518166e-04   4.370105765296e-02   3.685566522040e-02   1.665663003039e+03   2.333877811050e+01
  1.044000000000e-01   3.722812780990e-04   4.370106047180e-02   3.728421946715e-02   1.622621236869e+03   2.297267175259e+01
  1.056000000000e-01   3.763264043814e-04   4.370106329064e-02   3.771277371390e-02   1.579579470699e+03   2.260656539467e+01
  1.068000000000e-01   3.803715306638e-04   4.370106610948e-02   3.814132796065e-02   1.536537704528e+03   2.224045903676e+01
  1.080000000000e-01   3.844166569462e-04   4.370106892831e-02   3.856988220740e-02   1.493495938358e+03   2.187435267885e+01
  1.092000000000e-01   3.884617832286e-04   4.370107174715e-02   3.899843645414e-02   1.450454172188e+03   2.150824632094e+01
  1.104000000000e-01   3.925069095110e-04   4.370107456599e-02   3.942699070089e-02   1.407412406018e+03   2.114213996302e+01
  1.116000000000e-01   3.965520357934e-04   4.370107738483e-02   3.985554494764e-02   1.364370639848e+03   2.077603360511e+01
  1.128000000000e-01   4.005971620758e-04   4.370108020367e-02   4.028409919439e-02   1.321328873678e+03   2.040992724720e+01
  1.140000000000e-01   4.046422883582e-04   4.370108302251e-02   4.071265344114e-02   1.278287107508e+03   2.004382088929e+01
  1.152000000000e-01   4.086874146406e-04   4.370108584135e-02   4.114120768789e-02   1.235245341338e+03   1.967771453137e+01
  1.164000000000e-01   4.127325409229e-04   4.370108866019e-02   4.156976193464e-02   1.192203575168e+03   1.931160817346e+01
  1.176000000000e-01   4.167776672053e-04   4.370109147903e-02   4.199831618139e-02   1.149161808998e+03   1.894550181555e+01
  1.188000000000e-01   4.208227934877e-04   4.370109429786e-02   4.242687042814e-02   1.106120042827e+03   1.857939545763e+01
  1.200000000000e-01   4.248679197701e-04   4.370109711670e-02   4.285542467488e-02   1.063078276657e+03   1.821328909972e+01
  1.212000000000e-01   4.289130460525e-04   4.370109993554e-02   4.328397892163e-02   1.020036510487e+03   1.784718274181e+01
  1.224000000000e-01   4.329581723349e-04   4.370110275438e-02   4.371253316838e-02   9.769947443172e+02   1.748107638390e+01
  1.236000000000e-01   4.370032986173e-04   4.370110557322e-02   4.414108741513e-02   9.339529781471e+02   1.711497002598e+01
  1.248000000000e-01   4.410484248997e-04   4.370110839206e-02   4.456964166188e-02   8.909112119770e+02   1.674886366807e+01
  1.260000000000e-01   4.450935511821e-04   4.370111121090e-02   4.499819590863e-02   8.478694458069e+02   1.638275731016e+01
  1.272000000000e-01   4.491386774645e-04   4.370111402974e-02   4.542675015538e-02   8.048276796368e+02   1.601665095225e+01
  1.284000000000e-01   4.531838037469e-04   4.370111684857e-02   4.585530440213e-02   7.617859134667e+02   1.565054459433e+01
  1.296000000000e-01   4.572289300292e-04   4.370111966741e-02   4.628385864887e-02   7.187441472967e+02   1.528443823642e+01
  1.308000000000e-01   4.612740563116e-04   4.370112248625e-02   4.671241289562e-02   6.757023811266e+02   1.491833187851e+01
  1.320000000000e-01   4.653191825940e-04   4.370112530509e-02   4.714096714237e-02   6.326606149565e+02   1.455222552059e+01
  1.332000000000e-01   4.693643088764e-04   4.370112812393e-02   4.756952138912e-02   5.896188487864e+02   1.418611916268e+01
  1.344000000000e-01   4.734094351588e-04   4.370113094277e-02   4.799807563587e-02   5.465770826163e+02   1.382001280477e+01
  1.356000000000e-01   4.774545614412e-04   4.370113376161e-02   4.842662988262e-02   5.035353164462e+02   1.345390644686e+01
  1.368000000000e-01   4.814996877236e-04   4.370113658045e-02   4.885518412937e-02   4.604935502761e+02   1.308780008894e+01
  1.380000000000e-01   4.855448140060e-04   4.370113939928e-02   4.928373837612e-02   4.174517841060e+02   1.272169373103e+01
  1.392000000000e-01   4.895899402884e-04   4.370114221812e-02   4.971229262287e-02   3.744100179359e+02   1.235558737312e+01
  1.404000000000e-01   4.936350665708e-04   4.370114503696e-02   5.014084686961e-02   3.313682517658e+02   1.198948101521e+01
  1.416000000000e-01   4.976801928532e-04   4.370114785580e-02   5.056940111636e-02   2.883264855957e+02   1.162337465729e+01
  1.428000000000e-01   5.017253191355e-04   4.370115067464e-02   5.099795536311e-02   2.452847194256e+02   1.125726829938e+01
  1.440000000000e-01   5.108099296305e-04   4.370115861713e-02   5.141289357484e-02   2.138817008155e+02   1.094411953776e+01
  1.452000000000e-01   5.323658225070e-04   4.370117930077e-02   5.183966832432e-02   2.052215668869e+02   1.072026480348e+01
  1.464000000000e-01   5.562547230769e-04   4.370120261727e-02   5.229677684494e-02   1.964082317159e+02   1.048754545930e+01
  1.476000000000e-01   5.787219053846e-04   4.370122491503e-02   5.271256689972e-02   1.887833539236e+02   1.028195886965e+01
  1.488000000000e-01   6.025404218175e-04   4.370124893489e-02   5.313949445046e-02   1.813208182908e+02   1.007668885313e+01
  1.500000000000e-01   6.273310279360e-04   4.370127434157e-02   5.356973951701e-02   1.741555590090e+02   9.875581656038e+00
  1.512000000000e-01   6.524703458467e-04   4.370130051901e-02   5.399236319926e-02   1.674455429170e+02   9.683465497099e+00
  1.524000000000e-01   6.800525849810e-04   4.370132970773e-02   5.444132418812e-02   1.606542298084e+02   9.485060289355e+00
  1.536000000000e-01   7.070238053209e-04   4.370135871166e-02   5.486646606117e-02   1.545257683786e+02   9.302388418680e+00
  1.548000000000e-01   7.355331693875e-04   4.370138985435e-02   5.530197396378e-02   1.485364347700e+02   9.120329131736e+00
  1.560000000000e-01   7.626908866265e-04   4.370141997331e-02   5.570445022926e-02   1.432474831534e+02   8.956483158355e+00
  1.572000000000e-01   7.922868301298e-04   4.370145328807e-02   5.613021016398e-02   1.378965660735e+02   8.787609288150e+00
  1.584000000000e-01   8.237607274605e-04   4.370148926684e-02   5.656924696861e-02   1.326279822830e+02   8.618101303565e+00
  1.596000000000e-01   8.553190259811e-04   4.370152589845e-02   5.699618762961e-02   1.277345778913e+02   8.457621628989e+00
  1.608000000000e-01   8.878641347210e-04   4.370156424590e-02   5.742347673418e-02   1.230525103360e+02   8.301168941069e+00
  1.620000000000e-01   9.226039430123e-04   4.370160580405e-02   5.786597062155e-02   1.184191931301e+02   8.143386774115e+00
  1.632000000000e-01   9.577019085845e-04   4.370164843113e-02   5.829969081229e-02   1.140794647045e+02   7.992778004833e+00
  1.644000000000e-01   9.914491221311e-04   4.370169001151e-02   5.870488849025e-02   1.101965018577e+02   7.855573883577e+00
  1.656000000000e-01   1.030333194729e-03   4.370173862715e-02   5.915830461746e-02   1.060378789374e+02   7.705920594253e+00
  1.668000000000e-01   1.067617292614e-03   4.370178593709e-02   5.958038439849e-02   1.023348587537e+02   7.570173109123e+00
  1.680000000000e-01   1.104744567535e-03   4.370183370941e-02   5.998912893439e-02   9.889578775418e+01   7.441884246771e+00
  1.692000000000e-01   1.145659101713e-03   4.370188710319e-02   6.042703191366e-02   9.536407260642e+01   7.307795882453e+00
  1.704000000000e-01   1.186705996926e-03   4.370194144166e-02   6.085395490576e-02   9.206564548182e+01   7.180303717101e+00
  1.716000000000e-01   1.228409991050e-03   4.370199742523e-02   6.127578009741e-02   8.894017010531e+01   7.057371696246e+00
  1.728000000000e-01   1.272754959449e-03   4.370205779338e-02   6.171193165078e-02   8.584146042593e+01   6.933341030017e+00
  1.740000000000e-01   1.318422901657e-03   4.370212084788e-02   6.214856833075e-02   8.286817680608e+01   6.812208086326e+00
  1.752000000000e-01   1.363348036057e-03   4.370218373523e-02   6.256645206539e-02   8.013761449648e+01   6.699034566117e+00
  1.764000000000e-01   1.411484100432e-03   4.370225204285e-02   6.300215125240e-02   7.740478980504e+01   6.583819734077e+00
  1.776000000000e-01   1.459803220838e-03   4.370232155374e-02   6.342771183106e-02   7.484282972167e+01   6.473946604980e+00
  1.788000000000e-01   1.510812456867e-03   4.370239593940e-02   6.386490820665e-02   7.231605044814e+01   6.363724400927e+00
  1.800000000000e-01   1.561238791184e-03   4.370247046919e-02   6.428565120044e-02   6.998043911661e+01   6.260115486579e+00
  1.812000000000e-01   1.613815819995e-03   4.370254920936e-02   6.471291671094e-02   6.770064568071e+01   6.157301485326e+00
  1.824000000000e-01   1.667756469890e-03   4.370263106482e-02   6.513984303246e-02   6.551111006588e+01   6.056915191489e+00
  1.836000000000e-01   1.724305330386e-03   4.370271802223e-02   6.557571204676e-02   6.336278913613e+01   5.956774455713e+00
  1.848000000000e-01   1.780144388856e-03   4.370280501483e-02   6.599502942100e-02   6.137536551588e+01   5.862610740011e+00
  1.860000000000e-01   1.839293091801e-03   4.370289836097e-02   6.642787638215e-02   5.940175950721e+01   5.767580543350e+00
  1.872000000000e-01   1.899510854352e-03   4.370299463542e-02   6.685725426861e-02   5.751874822838e+01   5.675429411762e+00
  1.884000000000e-01   1.961441418825e-03   4.370309492935e-02   6.728763268564e-02   5.570277871914e+01   5.585119164594e+00
  1.896000000000e-01   2.025404619384e-03   4.370319985273e-02   6.772087175856e-02   5.394378910080e+01   5.496227969840e+00
  1.908000000000e-01   2.089464213668e-03   4.370330627083e-02   6.814392869674e-02   5.229008707705e+01   5.411325970883e+00
  1.920000000000e-01   2.156768498164e-03   4.370341949295e-02   6.857737972597e-02   5.065844981757e+01   5.326230552449e+00
  1.932000000000e-01   2.223974668494e-03   4.370353396879e-02   6.899953247251e-02   4.912773354382e+01   5.245143542796e+00
  1.944000000000e-01   2.293731101744e-03   4.370365426035e-02   6.942704508872e-02   4.763380309393e+01   5.164777800893e+00
  1.956000000000e-01   2.365136220843e-03   4.370377891927e-02   6.985402135134e-02   4.619583698194e+01   5.086223423119e+00
  1.968000000000e-01   2.439269671149e-03   4.370390994299e-02   7.028653662675e-02   4.479200317611e+01   5.008345213603e+00
  1.980000000000e-01   2.515178810473e-03   4.370404576496e-02   7.071864875316e-02   4.344029695123e+01   4.932196903277e+00
  1.992000000000e-01   2.591567796962e-03   4.370418411025e-02   7.114308532190e-02   4.215998531997e+01   4.858970238557e+00
  2.004000000000e-01   2.670732747044e-03   4.370432921342e-02   7.157251315012e-02   4.091042922751e+01   4.786422501974e+00
  2.016000000000e-01   2.751967122026e-03   4.370447990795e-02   7.200270774662e-02   3.970294517524e+01   4.715257076569e+00
  2.028000000000e-01   2.834578677014e-03   4.370463499206e-02   7.242989970580e-02   3.854597099955e+01   4.646046035044e+00
  2.040000000000e-01   2.919514238446e-03   4.370479633391e-02   7.285884800125e-02   3.742471586401e+01   4.577973447263e+00
  2.052000000000e-01   3.006387863068e-03   4.370496330988e-02   7.328737770925e-02   3.634341716747e+01   4.511353855971e+00
  2.064000000000e-01   3.095554490266e-03   4.370513671073e-02   7.371703707769e-02   3.529669470216e+01   4.445913745588e+00
  2.076000000000e-01   3.185993034414e-03   4.370531463666e-02   7.414282762690e-02   3.429489186305e+01   4.382366876850e+00
  2.088000000000e-01   3.280231494799e-03   4.370550219855e-02   7.457634236347e-02   3.330976965182e+01   4.318966427864e+00
  2.100000000000e-01   3.375173130546e-03   4.370569335099e-02   7.500313067577e-02   3.237292700295e+01   4.257797449580e+00
  2.112000000000e-01   3.472363129732e-03   4.370589126917e-02   7.543019104493e-02   3.146696474149e+01   4.197797071707e+00
  2.124000000000e-01   3.572858400470e-03   4.370609825980e-02   7.586183461565e-02   3.058202520288e+01   4.138349201507e+00
  2.136000000000e-01   3.674146847106e-03   4.370630925252e-02   7.628716614470e-02   2.973908710736e+01   4.080917639468e+00
  2.148000000000e-01   3.778523442715e-03   4.370652912388e-02   7.671576224101e-02   2.891773055434e+01   4.024168126511e+00
  2.160000000000e-01   3.885827997314e-03   4.370675770777e-02   7.714661851671e-02   2.811933372886e+01   3.968227171945e+00
  2.172000000000e-01   3.994598878863e-03   4.370699200458e-02   7.757375520367e-02   2.735380530687e+01   3.913838393680e+00
  2.184000000000e-01   4.106294069872e-03   4.370723526855e-02   7.800279950590e-02   2.660990331235e+01   3.860252045517e+00
  2.196000000000e-01   4.220353210499e-03   4.370748642511e-02   7.843139507820e-02   2.589089363207e+01   3.807742170100e+00
  2.208000000000e-01   4.337418392133e-03   4.370774703713e-02   7.886175602609e-02   2.519225901541e+01   3.756017178959e+00
  2.220000000000e-01   4.456482341967e-03   4.370801499796e-02   7.929003653047e-02   2.451934712405e+01   3.705514051987e+00
  2.232000000000e-01   4.578241971015e-03   4.370829200034e-02   7.971864868442e-02   2.386739947182e+01   3.655918995850e+00
  2.244000000000e-01   4.702603876151e-03   4.370857797812e-02   8.014710859398e-02   2.323637027976e+01   3.607265911555e+00
  2.256000000000e-01   4.829308478956e-03   4.370887246767e-02   8.057441650433e-02   2.262687953054e+01   3.559642192286e+00
  2.268000000000e-01   4.959498846609e-03   4.370917829169e-02   8.100423749513e-02   2.203306203084e+01   3.512622202468e+00
  2.280000000000e-01   5.092363809382e-03   4.370949372326e-02   8.143368056332e-02   2.145835183787e+01   3.466507901218e+00
  2.292000000000e-01   5.227251104536e-03   4.370981733751e-02   8.186058651741e-02   2.090478172149e+01   3.421502267139e+00
  2.304000000000e-01   5.365168158299e-03   4.371015168816e-02   8.228806441113e-02   2.036755903939e+01   3.377252294700e+00
  2.316000000000e-01   5.507370440939e-03   4.371050004134e-02   8.271971643230e-02   1.984181948086e+01   3.333379502739e+00
  2.328000000000e-01   5.651118211143e-03   4.371085585183e-02   8.314709059122e-02   1.933725955583e+01   3.290724137825e+00
  2.340000000000e-01   5.798426155486e-03   4.371122424480e-02   8.357611994022e-02   1.884615888548e+01   3.248668800581e+00
  2.352000000000e-01   5.948661877707e-03   4.371160383016e-02   8.400478710634e-02   1.837035148777e+01   3.207397205391e+00
  2.364000000000e-01   6.102235279333e-03   4.371199582645e-02   8.443411743197e-02   1.790819012440e+01   3.166794352285e+00
  2.376000000000e-01   6.258701955262e-03   4.371239928090e-02   8.486273658336e-02   1.746064902649e+01   3.126973529603e+00
  2.388000000000e-01   6.418577701340e-03   4.371281570782e-02   8.529192939333e-02   1.702589644537e+01   3.087798893938e+00
  2.400000000000e-01   6.581603322208e-03   4.371324462644e-02   8.572085982975e-02   1.660432970753e+01   3.049331834389e+00
  2.412000000000e-01   6.747858871399e-03   4.371368643465e-02   8.614962193073e-02   1.619539148186e+01   3.011547646948e+00
  2.424000000000e-01   6.916869963381e-03   4.371414004330e-02   8.657691363576e-02   1.579982718872e+01   2.974542523764e+00
  2.436000000000e-01   7.090301416722e-03   4.371461013936e-02   8.700678410214e-02   1.541352319531e+01   2.937953878020e+00
  2.448000000000e-01   7.265945156927e-03   4.371509093478e-02   8.743364823751e-02   1.504108893979e+01   2.902242203242e+00
  2.460000000000e-01   7.445975103104e-03   4.371558857586e-02   8.786268942076e-02   1.467759023181e+01   2.866958410897e+00
  2.472000000000e-01   7.629650496845e-03   4.371610126847e-02   8.829194928552e-02   1.432441148076e+01   2.832255360878e+00
  2.484000000000e-01   7.817519200109e-03   4.371663078790e-02   8.872254016215e-02   1.398034007620e+01   2.798033316934e+00
  2.496000000000e-01   8.007838915685e-03   4.371717242060e-02   8.915038876241e-02   1.364824295322e+01   2.764600523367e+00
  2.508000000000e-01   8.202383282673e-03   4.371773141240e-02   8.957940782649e-02   1.332470390184e+01   2.731635807539e+00
  2.520000000000e-01   8.400577173047e-03   4.371830635823e-02   9.000818412938e-02   1.301050673592e+01   2.699237627946e+00
  2.532000000000e-01   8.602498561453e-03   4.371889771121e-02   9.043678111549e-02   1.270529061961e+01   2.667388750629e+00
  2.544000000000e-01   8.808432533711e-03   4.371950654818e-02   9.086568408722e-02   1.240842408137e+01   2.636042011344e+00
  2.556000000000e-01   9.018851536433e-03   4.372013453959e-02   9.129572066649e-02   1.211909697232e+01   2.605128462187e+00
  2.568000000000e-01   9.231834760448e-03   4.372077616566e-02   9.172290005694e-02   1.183967686276e+01   2.574921172220e+00
  2.580000000000e-01   9.449750561868e-03   4.372143879256e-02   9.215188887835e-02   1.156682351198e+01   2.545077831170e+00
  2.592000000000e-01   9.671864472619e-03   4.372212048750e-02   9.258107355768e-02   1.130136816207e+01   2.515703911584e+00
  2.604000000000e-01   9.898674862669e-03   4.372282307087e-02   9.301127191266e-02   1.104259501334e+01   2.486735451846e+00
  2.616000000000e-01   1.012865990975e-02   4.372354207557e-02   9.343951350592e-02   1.079203529025e+01   2.458361194483e+00
  2.628000000000e-01   1.036294260789e-02   4.372428124196e-02   9.386783228893e-02   1.054823009650e+01   2.430433881850e+00
  2.640000000000e-01   1.060258937988e-02   4.372504425851e-02   9.429801653198e-02   1.030999190195e+01   2.402830719192e+00
  2.652000000000e-01   1.084554233967e-02   4.372582485415e-02   9.472626714088e-02   1.007921583927e+01   2.375786368761e+00
  2.664000000000e-01   1.109296137716e-02   4.372662699725e-02   9.515457372518e-02   9.854588308422e+00   2.349163564488e+00
  2.676000000000e-01   1.134571686710e-02   4.372745383989e-02   9.558429808875e-02   9.635233796176e+00   2.322871267604e+00
