# Exact Riemann solution for problem: sedov
# Discretization: 1001
# Domain bounds: [0.00000e+00,1.20000e+00]
# Gamma: 1.40000e+00
# Time: 1.00000e+00
                   x                  rho                |m_i|                 Erho                   Ma
  3.060000000000e-01   2.220612215841e-02   2.427657186646e-03   1.095551369158e-01   1.661157616710e+00
  3.072000000000e-01   2.264572416836e-02   2.485441470868e-03   1.095635647944e-01   1.644990882060e+00
  3.084000000000e-01   2.309240082272e-02   2.544385920894e-03   1.095721952646e-01   1.629039746974e+00
  3.096000000000e-01   2.354695276049e-02   2.604604152545e-03   1.095810463667e-01   1.613276233947e+00
  3.108000000000e-01   2.400780896414e-02   2.665895365051e-03   1.095900899064e-01   1.597753989676e+00
  3.120000000000e-01   2.447618283798e-02   2.728427937537e-03   1.095993520091e-01   1.582430533507e+00
  3.132000000000e-01   2.495186875320e-02   2.792182157561e-03   1.096088311509e-01   1.567312240906e+00
  3.144000000000e-01   2.543493269060e-02   2.857174457626e-03   1.096185311567e-01   1.552396227780e+00
  3.156000000000e-01   2.592551192316e-02   2.923431009487e-03   1.096284573385e-01   1.537677525498e+00
  3.168000000000e-01   2.642367818265e-02   2.990969321505e-03   1.096386137504e-01   1.523153311868e+00
  3.180000000000e-01   2.692966710414e-02   3.059829353353e-03   1.096490078692e-01   1.508816219194e+00
  3.192000000000e-01   2.744313713832e-02   3.129972510777e-03   1.096596353259e-01   1.494675097346e+00
  3.204000000000e-01   2.796462030588e-02   3.201479459885e-03   1.096705098222e-01   1.480714495074e+00
